Table 1: E-4 Population Estimates for Counties and State 2011-2020 with 2010 Benchmark,,,,,,,,,,,,,,,
COUNTY,4/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,4/1/2020,Column1,Column2,
Alameda             ," 1,510,271 "," 1,527,169 "," 1,549,193 "," 1,575,139 "," 1,597,747 "," 1,622,205 "," 1,641,983 "," 1,656,919 "," 1,666,247 "," 1,675,964 "," 1,681,337 "," 1,682,353 ",,,
Alpine              ," 1,175 "," 1,174 "," 1,176 "," 1,180 "," 1,185 "," 1,190 "," 1,196 "," 1,201 "," 1,205 "," 1,201 "," 1,204 "," 1,204 ",,,
Amador              ," 38,091 "," 37,089 "," 37,272 "," 37,044 "," 37,089 "," 37,453 "," 37,663 "," 38,807 "," 39,708 "," 40,227 "," 40,426 "," 40,474 ",,,
Butte               ," 220,000 "," 221,377 "," 222,623 "," 224,391 "," 225,737 "," 227,400 "," 228,198 "," 230,412 "," 231,774 "," 227,263 "," 216,090 "," 211,632 ",,,
Calaveras           ," 45,578 "," 45,561 "," 45,544 "," 45,499 "," 45,461 "," 45,395 "," 45,402 "," 45,355 "," 45,367 "," 45,324 "," 45,290 "," 45,292 ",,,
Colusa              ," 21,419 "," 21,362 "," 21,301 "," 21,418 "," 21,442 "," 21,338 "," 21,531 "," 21,773 "," 21,808 "," 21,745 "," 21,811 "," 21,839 ",,,
Contra Costa        ," 1,049,025 "," 1,061,578 "," 1,075,165 "," 1,090,305 "," 1,104,732 "," 1,120,530 "," 1,136,478 "," 1,147,957 "," 1,155,105 "," 1,161,077 "," 1,164,844 "," 1,165,927 ",,,
Del Norte," 28,610 "," 28,191 "," 28,193 "," 27,752 "," 27,341 "," 26,973 "," 26,960 "," 27,158 "," 27,269 "," 27,567 "," 27,702 "," 27,743 ",,,
El Dorado           ," 181,058 "," 180,887 "," 180,121 "," 179,663 "," 180,132 "," 180,914 "," 181,630 "," 182,695 "," 185,303 "," 186,714 "," 190,202 "," 191,185 ",,,
Fresno              ," 930,450 "," 938,507 "," 945,656 "," 953,114 "," 959,645 "," 968,417 "," 975,622 "," 983,436 "," 992,091 "," 1,000,679 "," 1,006,557 "," 1,008,654 ",,,
