"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Investor owned utility","Bear Valley Electric Service","2015","       0.000000","      50.037724","       0.000000","       0.000000","       0.000000","      77.765492","       0.195363","     127.998579"
"Investor owned utility","Bear Valley Electric Service","2016","       0.000000","      46.388970","       0.000000","       0.000000","       0.000000","      75.896265","       0.192438","     122.477673"
"Investor owned utility","Bear Valley Electric Service","2017","       0.000000","      44.630446","       0.000000","       0.000000","       0.000000","      75.680675","       0.192407","     120.503528"
"Investor owned utility","Bear Valley Electric Service","2018","       0.278864","      45.044731","       0.000000","       0.000000","       0.000000","      75.619148","       0.191879","     121.134622"
"Investor owned utility","Bear Valley Electric Service","2019","       0.003800","      52.709264","       0.000000","       0.000000","       0.000000","      78.464967","       0.193989","     131.372020"
"Investor owned utility","Bear Valley Electric Service","2020","       0.298064","      47.016068","       0.000000","       0.000000","       0.000000","      85.102904","       0.191880","     132.608916"
"Investor owned utility","Bear Valley Electric Service","2021","       0.370344","      45.215848","       0.000000","       0.000000","       0.000000","      87.207304","      -0.004100","     132.789396"
"Investor owned utility","Bear Valley Electric Service","2022","       0.000000","      53.574891","       0.000000","       0.000000","       0.000000","      81.801715","       0.088761","     135.465367"
"Investor owned utility","Liberty Utilities","2015","       7.328720","     192.624748","      22.179031","       1.463406","      20.407500","     268.409065","       0.285124","     512.697594"
"Investor owned utility","Liberty Utilities","2016","       7.970794","     209.500721","      24.122150","       1.591616","      22.195414","     291.924548","       0.310104","     557.615347"
"Investor owned utility","Liberty Utilities","2017","       8.359045","     230.977466","      35.615285","       3.479929","       1.649303","     288.418176","       0.012766","     568.511970"
"Investor owned utility","Liberty Utilities","2018","       9.381737","     234.306026","      34.751186","       2.932578","       1.576439","     277.705815","       0.013561","     560.667342"
"Investor owned utility","Liberty Utilities","2019","       8.835333","     229.251031","      34.298377","       3.658470","       1.564362","     286.582287","       0.009858","     564.199718"
"Investor owned utility","Liberty Utilities","2020","       9.521642","     210.607067","      32.475276","       3.838606","       1.469967","     295.878990","       0.010795","     553.802343"
"Investor owned utility","Liberty Utilities","2021","       9.140472","     219.295302","      31.346537","       4.026559","       1.511350","     294.439240","       0.012285","     559.771745"
"Investor owned utility","Liberty Utilities","2022","       9.151266","     220.147497","      30.861187","       4.740935","       1.564654","     292.130775","       0.013262","     558.609576"
"Investor owned utility","Pacific Gas and Electric Company","2015","    7581.369098","   31179.878450","    4550.697979","   10817.957173","    2138.725364","   29165.728985","     372.361100","   85806.718149"
"Investor owned utility","Pacific Gas and Electric Company","2016","    6691.567982","   30661.446243","    4545.686285","   10619.499101","    1909.032251","   28625.005153","     355.276594","   83407.513609"
"Investor owned utility","Pacific Gas and Electric Company","2017","    5100.395294","   30752.816512","    4352.882471","   10514.520852","    1764.902974","   29138.289589","     321.302231","   81945.109923"
"Investor owned utility","Pacific Gas and Electric Company","2018","    5831.536565","   30148.361359","    4265.599020","   10518.620421","    1593.650033","   27700.318464","     310.588751","   80368.674613"
"Investor owned utility","Pacific Gas and Electric Company","2019","    4567.034635","   30069.124903","    4423.671140","    9876.820530","    1670.306422","   27485.172805","     297.795176","   78389.925611"
"Investor owned utility","Pacific Gas and Electric Company","2020","    6637.587696","   26246.780819","    3948.564368","    9814.344473","    1747.635094","   29833.539744","     290.382948","   78518.835142"
"Investor owned utility","Pacific Gas and Electric Company","2021","    7555.093529","   26389.677941","    3925.903939","   10104.488115","    1789.836475","   28385.999999","     287.000000","   78437.999998"
"Investor owned utility","Pacific Gas and Electric Company","2022","    7506.061632","   26928.116409","    4055.688314","   10091.650596","    1814.483049","   27209.999999","     280.999999","   77886.999998"
"Investor owned utility","PacifiCorp","2015","     113.115432","     191.110665","      18.961988","      64.923758","       4.064323","     363.656013","       2.516997","     758.349176"
"Investor owned utility","PacifiCorp","2016","     109.672500","     185.720741","      18.125837","      61.201658","       4.038063","     358.629477","       2.175500","     739.563776"
"Investor owned utility","PacifiCorp","2017","     102.633822","     191.500867","      18.877173","      63.352699","       4.142556","     383.770452","       2.418125","     766.695694"
"Investor owned utility","PacifiCorp","2018","     105.173228","     187.552854","      18.859544","      61.228965","       3.779266","     360.358337","       2.508858","     739.461052"
"Investor owned utility","PacifiCorp","2019","     100.748449","     188.944905","      19.607847","      59.780735","       4.098511","     367.130421","       2.464800","     742.775668"
"Investor owned utility","PacifiCorp","2020","     121.011796","     181.318828","      19.002413","      56.166878","       5.785501","     376.466228","       2.473745","     762.225389"
"Investor owned utility","PacifiCorp","2021","     123.112219","     191.160085","      19.299380","      59.778558","       6.063733","     392.780458","       2.163804","     794.358237"
"Investor owned utility","PacifiCorp","2022","     118.355694","     192.578719","      18.570993","      65.212737","       6.806964","     398.308115","       1.877438","     801.710660"
"Investor owned utility","San Diego Gas and Electric Company","2015","     331.132843","    8749.011932","    1832.400558","    1497.707106","     165.541305","    7109.390972","      82.099339","   19767.284055"
"Investor owned utility","San Diego Gas and Electric Company","2016","     330.853739","    8497.265311","    1838.044655","    1395.788098","     391.869412","    6603.203645","      77.924301","   19134.949161"
"Investor owned utility","San Diego Gas and Electric Company","2017","     340.856443","    8401.184714","    1686.403812","    1417.721328","     353.384194","    6448.954894","      78.707016","   18727.212401"
"Investor owned utility","San Diego Gas and Electric Company","2018","     360.862269","    8300.072183","    1777.405551","    1396.604527","     425.864069","    6195.715456","      79.994039","   18536.518094"
"Investor owned utility","San Diego Gas and Electric Company","2019","     321.220161","    7922.597834","    1798.457652","    1393.349084","     399.599690","    5763.009216","      83.738284","   17681.971921"
"Investor owned utility","San Diego Gas and Electric Company","2020","     349.037497","    7150.230020","    1803.298425","    1350.912389","     359.971049","    6350.461760","      80.854677","   17444.765817"
"Investor owned utility","San Diego Gas and Electric Company","2021","     384.139382","    7528.839024","    1767.612845","    1501.281434","     425.055015","    5782.253795","      79.248109","   17468.429604"
"Investor owned utility","San Diego Gas and Electric Company","2022","     380.293141","    7810.710262","    1867.990523","    1513.300510","     398.234981","    5817.313065","      79.419568","   17867.262050"
"Investor owned utility","Southern California Edison Company","2015","    3445.213830","   32655.043733","    4330.577082","   13128.353294","    2467.067922","   29243.909698","     634.321893","   85904.487452"
"Investor owned utility","Southern California Edison Company","2016","    3303.702832","   32057.427608","    4302.137328","   13244.932964","    2432.218349","   28501.154541","     627.202912","   84468.776534"
"Investor owned utility","Southern California Edison Company","2017","    2977.662594","   31916.136566","    4326.375000","   13127.693771","    2423.572678","   28948.343842","     624.574696","   84344.359147"
"Investor owned utility","Southern California Edison Company","2018","    3207.651462","   31426.937772","    4406.812695","   13315.180503","    2418.150835","   28397.510969","     576.724721","   83748.968957"
